participant_id,question_id,part,min,max,t_ij,valid_data,censored,LB,is_valid_time,invalid_time
participant_7,Q4,Part 2,219.8865,266.88153,46.995026,True,False,-13.903518624999997,True,False
participant_7,Q5,Part 1,266.88153,322.30508,55.423553,True,False,-17.558349749999998,True,False
participant_7,Q6,Part 2,322.30508,384.97552,62.67044,True,False,-2.6415825000000055,True,False
participant_7,Q7,Part 2,384.97552,428.92422,43.9487,True,False,-19.12834125,True,False
participant_7,Q8,Part 1,428.92422,461.5123,32.588074,True,False,12.627906249999999,True,False
participant_7,Q9,Part 2,461.5123,533.7818,72.2695,True,False,-43.915626249999995,True,False
participant_8,Q1,Part 2,1355.7617,1394.0768,38.315063,True,False,-50.36237012500002,True,False
participant_8,Q10,Part 2,1836.689,1888.0328,51.343872,True,False,21.069945000000015,True,False
participant_8,Q11,Part 2,1888.0328,1945.5725,57.539673,True,False,-40.907548000000006,True,False
participant_8,Q12,Part 2,1945.5725,1999.9506,54.37805,True,False,-25.296664500000006,True,False
participant_8,Q13,Part 2,1999.9506,2044.2875,44.336914,True,False,-59.49931249999999,True,False
participant_8,Q14,Part 2,2044.2875,2120.8035,76.51599,True,False,-15.682907499999992,True,False
participant_8,Q15,Part 1,2120.8035,2197.9695,77.166016,True,False,-50.906250125,True,False
participant_8,Q2,Part 1,1394.0768,1463.4794,69.40259,True,False,-33.965227500000005,True,False
participant_8,Q3,Part 1,1463.4794,1516.3167,52.83728,True,False,22.22259500000001,True,False
participant_8,Q4,Part 2,1516.3167,1574.8748,58.558105,True,False,-13.903518624999997,True,False
participant_8,Q5,Part 2,1574.8748,1630.9266,56.05188,True,False,-32.73797499999999,True,False
participant_8,Q6,Part 2,1637.9,1693.9325,56.03247,True,False,-2.6415825000000055,True,False
participant_8,Q7,Part 1,1693.9325,1736.2728,42.340332,True,False,9.099364500000007,True,False
participant_8,Q8,Part 1,1736.2728,1789.9341,53.661255,True,False,12.627906249999999,True,False
participant_8,Q9,Part 2,1789.9341,1836.689,46.754883,True,False,-43.915626249999995,True,False
participant_9,Q1,Part 2,2820.0667,2883.3135,63.246826,True,False,-50.36237012500002,True,False
participant_9,Q10,Part 1,3256.6575,3290.0686,33.411133,True,False,-24.73032000000001,True,False
participant_9,Q11,Part 2,3290.7188,3304.363,13.644287,True,False,-40.907548000000006,True,False
participant_9,Q12,Part 2,3304.363,3337.3867,33.02368,True,False,-25.296664500000006,True,False
participant_9,Q13,Part 1,3337.3867,3420.0989,82.71216,True,False,-36.8935275,True,False
participant_9,Q14,Part 2,3420.0989,3438.4192,18.320312,True,False,-15.682907499999992,True,False
participant_9,Q15,Part 2,3438.4192,3469.2852,30.865967,True,False,-7.538453000000004,True,False
participant_9,Q2,Part 2,2883.3135,2929.0974,45.783936,True,False,5.275637500000002,True,False
participant_9,Q3,Part 1,2929.0974,3002.3445,73.24707,True,False,22.22259500000001,True,False
participant_9,Q4,Part 2,3002.3445,3029.3994,27.054932,True,False,-13.903518624999997,True,False
participant_9,Q5,Part 2,3029.3994,3059.8777,30.478271,True,False,-32.73797499999999,True,False
participant_9,Q6,Part 1,3059.8777,3110.6582,50.780518,True,False,-16.519976249999978,True,False
participant_9,Q7,Part 1,3110.6582,3129.8494,19.191162,True,False,9.099364500000007,True,False
participant_9,Q8,Part 2,3129.8494,3172.9495,43.100098,True,False,-13.506705624999995,True,False
participant_9,Q9,Part 2,3172.9495,3256.6575,83.70801,True,False,-43.915626249999995,True,False
participant_10,Q1,Part 1,62.72685,98.08165,35.3548,True,False,-15.267332750000005,True,False
participant_10,Q10,Part 2,605.7742,660.25195,54.477783,True,False,21.069945000000015,True,False
participant_10,Q11,Part 1,660.25195,697.8443,37.592346,True,False,-23.071903749999997,True,False
participant_10,Q12,Part 1,697.8443,740.2115,42.367188,True,False,-33.93513524999999,True,False
participant_10,Q13,Part 2,740.2115,757.8551,17.643616,True,False,-59.49931249999999,True,False
participant_10,Q14,Part 2,757.8551,787.68304,29.827942,True,False,-15.682907499999992,True,False
participant_10,Q15,Part 1,787.68304,828.51624,40.83319,True,False,-50.906250125,True,False
participant_10,Q2,Part 2,98.08165,121.35199,23.27034,True,False,5.275637500000002,True,False
