participant_id,question_id,invalid_gaze_count,total_gaze_count,invalid_gaze_ratio
participant_17,Q10,176,10594,0.016613177270152917
participant_17,Q11,480,11215,0.04279982166740972
participant_17,Q12,301,7016,0.04290193842645382
participant_17,Q13,0,730,0.0
participant_17,Q14,374,8620,0.04338747099767981
participant_17,Q15,58,7380,0.007859078590785908
participant_17,Q2,163,9618,0.016947390309835726
participant_17,Q3,194,9202,0.02108237339708759
participant_17,Q4,388,11530,0.03365134431916739
participant_17,Q5,142,4184,0.033938814531548754
participant_17,Q6,383,10444,0.03667177326694753
participant_17,Q7,199,8222,0.024203356847482364
participant_17,Q8,162,5855,0.02766865926558497
participant_17,Q9,67,8814,0.007601542999773088
participant_18,Q1,230,6231,0.03691221312790884
participant_18,Q10,323,9042,0.03572218535722185
participant_18,Q11,939,12299,0.07634767054232051
participant_18,Q12,750,12851,0.05836121702591238
participant_18,Q13,341,5400,0.06314814814814815
participant_18,Q14,481,5275,0.09118483412322274
participant_18,Q15,187,3187,0.05867587072481958
participant_18,Q2,1592,13295,0.11974426476118842
participant_18,Q3,308,5367,0.05738773989193218
participant_18,Q4,466,10720,0.04347014925373134
participant_18,Q5,592,11547,0.05126872780808868
participant_18,Q6,788,12679,0.06215001183058601
participant_18,Q7,688,12297,0.05594860535089859
participant_18,Q8,697,12370,0.056345998383185124
participant_18,Q9,449,8744,0.051349496797804206
