participant_id,question_id,part,min,max,t_ij,valid_data
participant_12,Q1,Part 1,44.48244,103.46221,58.97977,True
participant_12,Q10,Part 2,410.5138,429.39062,18.876831,True
participant_12,Q11,Part 2,429.39062,454.20142,24.810791,True
participant_12,Q12,Part 1,454.20142,480.7742,26.572784,True
participant_12,Q13,Part 2,480.7742,490.64722,9.873016,True
participant_12,Q14,Part 2,490.64722,563.2258,72.57861,True
participant_12,Q15,Part 2,563.2258,581.39886,18.173035,True
participant_12,Q2,Part 2,103.46221,126.57849,23.11628,True
participant_12,Q3,Part 2,126.57849,168.72545,42.146957,True
participant_12,Q4,Part 2,168.72545,213.0827,44.357254,True
participant_12,Q5,Part 2,213.0827,230.3651,17.282394,True
participant_12,Q6,Part 1,230.3651,317.23776,86.872665,True
participant_12,Q7,Part 1,317.23776,329.5445,12.306732,True
participant_12,Q8,Part 2,329.5445,397.84937,68.30487,True
participant_12,Q9,Part 1,397.84937,410.5138,12.664429,True
participant_13,Q1,Part 2,74.35633,196.03941,121.68308,True
participant_13,Q10,Part 2,888.4083,939.4774,51.06909,True
participant_13,Q11,Part 1,939.4774,1026.2555,86.778076,True
participant_13,Q12,Part 2,1026.2555,1086.7295,60.474,True
participant_13,Q13,Part 2,1086.7295,1169.4874,82.757935,True
participant_13,Q14,Part 1,1169.4874,1229.2307,59.743286,True
participant_13,Q15,Part 2,1229.2921,1310.8457,81.55359,True
participant_13,Q2,Part 1,196.03941,285.17584,89.13643,True
participant_13,Q3,Part 2,285.17584,442.347,157.17114,True
participant_13,Q4,Part 2,442.347,489.23587,46.888885,True
participant_13,Q5,Part 2,489.23587,592.61316,103.37729,True
participant_13,Q6,Part 1,592.61316,694.66315,102.04999,True
participant_13,Q7,Part 2,694.66315,770.44916,75.78601,True
participant_13,Q8,Part 1,770.44916,856.23584,85.78668,True
participant_13,Q9,Part 2,856.23584,888.4083,32.172485,True
participant_14,Q1,Part 1,3094.0361,3116.0132,21.97705,True
participant_14,Q10,Part 1,3497.1133,3548.0212,50.90796,True
participant_14,Q11,Part 1,3548.0212,3594.2134,46.19214,True
participant_14,Q12,Part 2,3594.2134,3636.2996,42.08618,True
participant_14,Q13,Part 2,3636.2996,3663.5017,27.202148,True
participant_14,Q14,Part 1,3663.5017,3733.661,70.15918,True
participant_14,Q15,Part 2,3733.661,3768.419,34.758057,True
participant_14,Q2,Part 2,3116.0132,3158.267,42.253906,True
participant_14,Q3,Part 2,3158.267,3189.0398,30.772705,True
participant_14,Q4,Part 1,3189.0398,3227.843,38.803223,True
participant_14,Q5,Part 2,3227.843,3276.22,48.376953,True
participant_14,Q6,Part 2,3276.22,3358.8643,82.64429,True
participant_14,Q7,Part 2,3358.8643,3382.315,23.450684,True
participant_14,Q8,Part 2,3382.315,3464.994,82.678955,True
participant_14,Q9,Part 2,3464.994,3497.1133,32.119385,True
participant_15,Q1,Part 2,83.7511,133.64032,49.88922,True
participant_15,Q10,Part 2,602.0808,657.939,55.858215,True
participant_15,Q11,Part 1,657.939,738.64136,80.70233,True
participant_15,Q12,Part 2,738.64136,763.2384,24.597046,True
participant_15,Q13,Part 1,763.2384,831.4218,68.18341,True
participant_15,Q14,Part 1,831.4218,858.0879,26.666077,True
participant_15,Q15,Part 2,858.0879,882.98584,24.89795,True
participant_15,Q2,Part 2,133.64032,166.02097,32.380646,True
participant_15,Q3,Part 2,166.02097,240.19919,74.17822,True
participant_15,Q4,Part 2,240.19919,298.71616,58.516968,True
participant_15,Q5,Part 1,298.71616,311.11588,12.399719,True
participant_15,Q6,Part 1,311.11588,366.47815,55.362274,True
participant_15,Q7,Part 2,366.47815,442.35077,75.87262,True
participant_15,Q8,Part 2,442.35077,515.59753,73.246765,True
participant_15,Q9,Part 2,515.59753,602.0808,86.48328,True
participant_16,Q1,Part 1,4048.6633,4106.973,58.309814,True
participant_16,Q10,Part 2,4532.7515,4604.458,71.70654,True
participant_16,Q11,Part 2,4604.458,4656.973,52.515137,True
participant_16,Q12,Part 2,4656.973,4726.158,69.18506,True
participant_16,Q13,Part 2,4726.158,4796.375,70.2168,True
participant_16,Q14,Part 2,4796.375,4833.256,36.88086,True
participant_16,Q15,Part 1,4833.256,4914.2197,80.96387,True
participant_16,Q2,Part 2,4106.973,4146.9087,39.935547,True
participant_16,Q3,Part 1,4146.9087,4209.0767,62.16797,True
participant_16,Q4,Part 2,4209.0767,4267.6416,58.56494,True
participant_16,Q5,Part 2,4267.6416,4319.0854,51.443848,True
participant_16,Q6,Part 2,4319.0854,4365.3784,46.29297,True
participant_16,Q7,Part 1,4365.3784,4435.551,70.17236,True
participant_16,Q8,Part 1,4435.551,4498.1675,62.6167,True
participant_16,Q9,Part 2,4498.1675,4532.7515,34.583984,True
participant_17,Q1,Part 2,93.62907,197.81746,104.18839,True
participant_17,Q10,Part 2,658.261,729.76697,71.50598,True
participant_17,Q11,Part 1,729.76697,805.1705,75.4035,True
participant_17,Q12,Part 2,805.1705,852.2474,47.076904,True
participant_17,Q13,Part 2,852.2474,857.37103,5.123657,True
participant_17,Q14,Part 1,857.37103,915.5343,58.16327,True
participant_17,Q15,Part 2,915.5343,965.43176,49.89746,True
participant_17,Q2,Part 2,197.81746,262.7717,64.95424,True
participant_17,Q3,Part 2,262.7717,324.49078,61.719086,True
participant_17,Q4,Part 2,324.49078,402.10535,77.61456,True
participant_17,Q5,Part 1,402.54105,430.85596,28.31491,True
participant_17,Q6,Part 1,430.85596,503.74817,72.89221,True
participant_17,Q7,Part 2,503.74817,558.95825,55.210083,True
participant_17,Q8,Part 2,558.95825,598.70496,39.746704,True
participant_17,Q9,Part 1,598.70496,658.261,59.55603,True
participant_18,Q1,Part 2,262.72916,304.97687,42.24771,True
participant_18,Q10,Part 2,901.432,962.6467,61.21472,True
participant_18,Q11,Part 2,962.6467,1045.9171,83.270386,True
participant_18,Q12,Part 1,1045.9171,1132.9901,87.073,True
participant_18,Q13,Part 2,1132.9901,1169.6036,36.613525,True
participant_18,Q14,Part 2,1169.6036,1205.4999,35.89624,True
participant_18,Q15,Part 1,1205.4999,1226.9822,21.4823,True
participant_18,Q2,Part 1,305.2514,395.15036,89.89896,True
participant_18,Q3,Part 2,395.15036,431.4965,36.34613,True
participant_18,Q4,Part 2,431.62424,503.8798,72.255554,True
participant_18,Q5,Part 2,503.8798,581.7827,77.90292,True
participant_18,Q6,Part 1,581.7827,674.9514,93.1687,True
participant_18,Q7,Part 2,674.9514,758.1992,83.2478,True
participant_18,Q8,Part 2,758.1992,841.84894,83.64972,True
participant_18,Q9,Part 1,841.84894,901.432,59.58307,True
