participant_id,question_id,part,min,max,t_ij,valid_data,censored,LB,is_valid_time,invalid_time,is_correct,label
participant_14,Q13,Part 2,3636.29956,3663.50171,27.202150000000074,True,False,-59.499320000000125,True,False,0,UP
participant_14,Q14,Part 1,3663.50171,3733.66089,70.1591800000001,True,False,-14.439928750000348,True,False,1,NP
participant_14,Q15,Part 2,3733.66089,3768.41895,34.758060000000114,True,False,-7.538450000000111,True,False,1,NP
participant_14,Q2,Part 2,3116.01318,3158.26709,42.253909999999905,True,False,5.275629999999509,True,False,1,NP
participant_14,Q3,Part 2,3158.26709,3189.03979,30.772699999999986,True,False,-5.320869999999928,True,False,0,UP
participant_14,Q4,Part 1,3189.03979,3227.84302,38.803229999999985,True,False,2.085678749999964,True,False,1,NP
participant_14,Q5,Part 2,3227.84302,3276.21997,48.376950000000306,True,False,-32.73799000000031,True,False,0,NA_no_correct
participant_14,Q6,Part 2,3276.21997,3358.86426,82.64428999999973,True,False,-2.641577499999663,True,False,0,UP
participant_14,Q7,Part 2,3358.86426,3382.31494,23.450680000000375,True,False,-19.128347499999308,True,False,1,NP
participant_14,Q8,Part 2,3382.31494,3464.9939,82.67895999999973,True,False,-13.50669250000017,True,False,0,UP
participant_14,Q9,Part 2,3464.9939,3497.11328,32.11938000000009,True,False,-43.915629999999766,True,False,0,UP
participant_15,Q1,Part 2,83.7511,133.64032,49.88922000000001,True,False,-50.36236749999948,True,False,0,UP
participant_15,Q10,Part 2,602.08081,657.93903,55.85821999999996,True,False,21.069950000000233,True,False,1,NP
participant_15,Q11,Part 1,657.93903,738.64136,80.70232999999996,True,False,-23.071896249999938,True,False,1,NP
participant_15,Q12,Part 2,738.64136,763.2384,24.597039999999993,True,False,-25.296670000000063,True,False,1,NP
participant_15,Q13,Part 1,763.2384,831.42181,68.1834100000001,True,False,-36.89351500000005,True,False,1,NP
participant_15,Q14,Part 1,831.42181,858.08789,26.666079999999965,True,False,-14.439928750000348,True,False,1,NP
participant_15,Q15,Part 2,858.08789,882.98584,24.897950000000037,True,False,-7.538450000000111,True,False,1,NP
participant_15,Q2,Part 2,133.64032,166.02097,32.38065,True,False,5.275629999999509,True,False,0,UP
participant_15,Q3,Part 2,166.02097,240.19919,74.17821999999998,True,False,-5.320869999999928,True,False,1,NP
participant_15,Q4,Part 2,240.19919,298.71616,58.516970000000015,True,False,-13.903517500000689,True,False,1,NP
participant_15,Q5,Part 1,298.71616,311.11588,12.399720000000002,True,False,-17.558350000001838,True,False,0,NA_no_correct
participant_15,Q6,Part 1,311.11588,366.47815,55.362270000000024,True,False,-16.519989999999503,True,False,1,NP
participant_15,Q7,Part 2,366.47815,442.35077,75.87261999999998,True,False,-19.128347499999308,True,False,0,UP
participant_15,Q8,Part 2,442.35077,515.59753,73.24676,True,False,-13.50669250000017,True,False,0,UP
participant_15,Q9,Part 2,515.59753,602.08081,86.48328000000004,True,False,-43.915629999999766,True,False,0,UP
participant_16,Q1,Part 1,4048.66333,4106.97314,58.3098100000002,True,False,-15.267338749999706,True,False,1,NP
participant_16,Q10,Part 2,4532.75146,4604.45801,71.70654999999988,True,False,21.069950000000233,True,False,0,UP
participant_16,Q11,Part 2,4604.45801,4656.97314,52.51512999999977,True,False,-40.907541250000634,True,False,1,NP
participant_16,Q12,Part 2,4656.97314,4726.1582,69.1850599999998,True,False,-25.296670000000063,True,False,0,UP
