BKDUR,BKID,BKPMIN,BPOGV,BPOGX,BPOGY,CS,CX,CY,FPOGD,FPOGID,FPOGS,FPOGV,FPOGX,FPOGY,LEYEX,LEYEY,LEYEZ,LPCX,LPCY,LPD,LPOGV,LPOGX,LPOGY,LPS,LPUPILD,LPUPILV,LPV,REYEX,REYEY,REYEZ,RPCX,RPCY,RPD,RPOGV,RPOGX,RPOGY,RPS,RPUPILD,RPUPILV,RPV,participant_id,question_id,part,is_valid,AOI,randomness_label,randomness_label_num
0.0,0,44,1,0.41011,0.3665,0,0.87187,0.86667,0.07422,10880,4870.05713,1,0.40967,0.38468,-0.0535,-0.01594,0.64394,0.28114,0.57252,16.80062,1,0.40387,0.38591,0.9597,0.0032,1,1,0.01429,-0.02179,0.67571,0.55232,0.59727,15.03945,1,0.41635,0.34708,0.96717,0.00313,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.40906,0.36011,0,0.87187,0.86667,0.08057,10880,4870.05713,1,0.40962,0.38279,-0.05524,-0.01618,0.65961,0.28048,0.57237,17.18505,1,0.40148,0.37967,0.97401,0.00324,1,1,0.01401,-0.02179,0.68193,0.55174,0.59691,16.07333,1,0.41663,0.34055,0.98148,0.00298,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.39534,0.35068,0,0.87187,0.86667,0.08789,10880,4870.05713,1,0.4086,0.3805,-0.05524,-0.01618,0.65961,0.2796,0.57224,16.64377,1,0.42448,0.34635,0.98832,0.00325,1,1,0.01401,-0.02179,0.68193,0.55122,0.59657,15.88708,1,0.3662,0.355,0.98832,0.0031,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.42701,0.32246,0,0.87187,0.86667,0.09424,10880,4870.05713,1,0.40983,0.37663,-0.05524,-0.01618,0.65961,0.27916,0.57219,16.47523,1,0.43746,0.33561,0.99516,0.0032,1,1,0.01401,-0.02179,0.68193,0.55096,0.59625,15.52382,1,0.41655,0.3093,0.99516,0.00307,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.42694,0.32424,0,0.87187,0.86667,0.10059,10880,4870.05713,1,0.4109,0.37335,-0.04998,-0.01445,0.59095,0.27846,0.57195,16.68475,1,0.43746,0.33561,0.99516,0.00321,1,1,0.01309,-0.0208,0.65876,0.55015,0.59554,15.32021,1,0.41641,0.31286,0.98769,0.00313,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.4,0.36201,0,0.87187,0.86667,0.10742,10880,4870.05713,1,0.41025,0.37269,-0.04998,-0.01445,0.59095,0.27762,0.57189,16.60627,1,0.39515,0.36327,0.98085,0.00326,1,1,0.01309,-0.0208,0.65876,0.54939,0.59519,15.74469,1,0.40485,0.36075,0.97338,0.00305,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.40024,0.37228,0,0.87187,0.86667,0.11523,10880,4870.05713,1,0.4097,0.37266,-0.04998,-0.01445,0.59095,0.27742,0.57187,16.58659,1,0.40823,0.36704,0.96654,0.00329,1,1,0.01309,-0.0208,0.65876,0.54913,0.59476,15.41051,1,0.39225,0.37752,0.95907,0.00309,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.40086,0.37558,0,0.87187,0.86667,0.12109,10880,4870.05713,1,0.40923,0.37282,-0.05649,-0.0162,0.66267,0.27659,0.57169,16.88879,1,0.40943,0.37044,0.95907,0.00322,1,1,0.0127,-0.02046,0.65903,0.54854,0.59424,15.85564,1,0.39229,0.38072,0.95161,0.00304,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.39463,0.3846,0,0.87187,0.86667,0.12793,10880,4870.05713,1,0.4085,0.37341,-0.05649,-0.0162,0.66267,0.27581,0.57155,17.05101,1,0.39472,0.38855,0.95845,0.00323,1,1,0.0127,-0.02046,0.65903,0.5479,0.5938,15.75747,1,0.39454,0.38065,0.95845,0.00319,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
0.0,0,44,1,0.39766,0.35304,0,0.87187,0.86667,0.13477,10880,4870.05713,1,0.40799,0.37244,-0.05649,-0.0162,0.66267,0.2755,0.57157,17.13184,1,0.3851,0.37684,0.96529,0.00319,1,1,0.0127,-0.02046,0.65903,0.54736,0.5934,15.52012,1,0.41021,0.32924,0.96529,0.00305,1,1,participant_5,question_3,No-Timer,True,Question,NOT_RANDOM,0
