participant_id,question_id,invalid_gaze_count,total_gaze_count,invalid_gaze_ratio
participant_13,Q12,457,8956,0.0510
participant_13,Q13,1223,12290,0.0995
participant_13,Q14,986,8831,0.1117
participant_13,Q15,405,12155,0.0333
participant_13,Q2,561,13207,0.0425
participant_13,Q3,855,23400,0.0365
participant_13,Q4,810,6928,0.1169
participant_13,Q5,3267,15342,0.2129
participant_13,Q6,675,12660,0.0533
participant_13,Q7,2460,11257,0.2185
participant_13,Q8,850,12746,0.0667
participant_13,Q9,329,4740,0.0694
participant_14,Q1,0,3200,0.0000
participant_14,Q10,18,7605,0.0024
participant_14,Q11,14,6820,0.0021
participant_14,Q12,27,6252,0.0043
participant_14,Q13,31,4047,0.0077
participant_14,Q14,152,10403,0.0146
participant_14,Q15,46,5152,0.0089
participant_14,Q2,15,6205,0.0024
participant_14,Q3,39,4712,0.0083
participant_14,Q4,10,5586,0.0018
participant_14,Q5,27,7270,0.0037
participant_14,Q6,17,11257,0.0015
participant_14,Q7,81,3511,0.0231
participant_14,Q8,27,12257,0.0022
participant_14,Q9,0,4761,0.0000
participant_15,Q1,127,7295,0.0174
participant_15,Q10,376,8292,0.0453
participant_15,Q11,221,12008,0.0184
participant_15,Q12,234,3597,0.0651
participant_15,Q13,398,10089,0.0394
participant_15,Q14,235,3884,0.0605
participant_15,Q15,495,3646,0.1358
participant_15,Q2,140,4764,0.0294
participant_15,Q3,660,10983,0.0601
participant_15,Q4,413,8647,0.0478
participant_15,Q5,58,1808,0.0321
participant_15,Q6,367,7938,0.0462
participant_15,Q7,237,11228,0.0211
participant_15,Q8,439,10901,0.0403
participant_15,Q9,1107,12716,0.0871
participant_16,Q1,811,8585,0.0945
participant_16,Q10,1204,10577,0.1138
participant_16,Q11,996,7796,0.1278
participant_16,Q12,1318,10190,0.1293
participant_16,Q13,1544,10353,0.1491
participant_16,Q14,678,5438,0.1247
participant_16,Q15,2362,11931,0.1980
participant_16,Q2,628,5897,0.1065
participant_16,Q3,1426,9129,0.1562
participant_16,Q4,1512,8631,0.1752
participant_16,Q5,887,7586,0.1169
participant_16,Q6,930,5500,0.1691
participant_16,Q7,1410,10388,0.1357
participant_16,Q8,1529,9211,0.1660
participant_16,Q9,674,5093,0.1323
participant_17,Q1,411,15280,0.0269
participant_17,Q10,176,10594,0.0166
participant_17,Q11,480,11215,0.0428
participant_17,Q12,301,7016,0.0429
participant_17,Q13,0,730,0.0000
participant_17,Q14,374,8620,0.0434
participant_17,Q15,58,7380,0.0079
participant_17,Q2,163,9618,0.0169
participant_17,Q3,194,9202,0.0211
participant_17,Q4,388,11530,0.0337
participant_17,Q5,142,4184,0.0339
participant_17,Q6,383,10444,0.0367
participant_17,Q7,199,8222,0.0242
participant_17,Q8,162,5855,0.0277
participant_17,Q9,67,8814,0.0076
participant_18,Q1,230,6231,0.0369
participant_18,Q10,323,9042,0.0357
participant_18,Q11,939,12299,0.0763
participant_18,Q12,750,12851,0.0584
participant_18,Q13,341,5400,0.0631
participant_18,Q14,481,5275,0.0912
participant_18,Q15,187,3187,0.0587
participant_18,Q2,1592,13295,0.1197
participant_18,Q3,308,5367,0.0574
participant_18,Q4,466,10720,0.0435
participant_18,Q5,592,11547,0.0513
participant_18,Q6,788,12679,0.0622
participant_18,Q7,688,12297,0.0559
participant_18,Q8,697,12370,0.0563
participant_18,Q9,449,8744,0.0513
participant_19,Q1,2141,12305,0.1740
participant_19,Q10,8927,10763,0.8294
