BKDUR,BKID,BKPMIN,BPOGV,BPOGX,BPOGY,CS,CX,CY,FPOGD,FPOGID,FPOGS,FPOGV,FPOGX,FPOGY,LEYEX,LEYEY,LEYEZ,LPCX,LPCY,LPD,LPOGV,LPOGX,LPOGY,LPS,LPUPILD,LPUPILV,LPV,REYEX,REYEY,REYEZ,RPCX,RPCY,RPD,RPOGV,RPOGX,RPOGY,RPS,RPUPILD,RPUPILV,RPV,participant_id,question_id,part,is_valid,AOI
0.0,0,8,1,0.45035,-0.00634,0,0.90312,0.83519,0.31458,2722,757.8551,1,0.44326,0.00338,-0.06335,-0.06142,0.6494,0.2445,0.79865,22.78418,1,0.46132,-0.02003,1.1317,0.00508,1,1,-5e-05,-0.06673,0.65616,0.49976,0.82131,21.51307,1,0.43938,0.00736,1.1317,0.00444,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.451,-0.01634,0,0.90312,0.83519,0.32153,2722,757.8551,1,0.4442,0.00206,-0.06335,-0.06142,0.6494,0.24453,0.79862,22.83827,1,0.45792,-0.02686,1.1317,0.00511,1,1,-5e-05,-0.06673,0.65616,0.4998,0.82127,21.51953,1,0.44408,-0.00582,1.1317,0.00448,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.45091,0.03217,0,0.90312,0.83519,0.32825,2722,757.8551,1,0.44496,0.00158,-0.06335,-0.06142,0.6494,0.24449,0.79868,22.69703,1,0.46026,0.05259,1.1317,0.00513,1,1,-5e-05,-0.06673,0.65616,0.49989,0.82125,21.39232,1,0.44157,0.01174,1.1317,0.00449,1,1,participant_10,question_14,Timer-No-Correct,True,Question
0.0,0,8,1,0.45103,0.02772,0,0.90312,0.83519,0.33502,2722,757.8551,1,0.44572,0.00093,-0.06335,-0.06142,0.6494,0.24453,0.79861,22.68978,1,0.46026,0.05259,1.1317,0.00516,1,1,0.0,-0.06939,0.6823,0.49983,0.8212,21.41374,1,0.44179,0.00284,1.14068,0.00448,1,1,participant_10,question_14,Timer-No-Correct,True,Question
0.0,0,8,1,0.45566,-0.01056,0,0.90312,0.83519,0.34125,2722,757.8551,1,0.4458,-0.00065,-0.06335,-0.06142,0.6494,0.24452,0.79867,22.80499,1,0.46299,-0.01714,1.14068,0.00516,1,1,0.0,-0.06939,0.6823,0.49981,0.82121,21.43543,1,0.44833,-0.00397,1.14967,0.00449,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.45453,-0.02237,0,0.90312,0.83519,0.34802,2722,757.8551,1,0.4459,-0.00233,-0.06335,-0.06142,0.6494,0.24452,0.79872,22.72237,1,0.46198,-0.01381,1.14967,0.00515,1,1,0.0,-0.06939,0.6823,0.49987,0.82132,21.63458,1,0.44709,-0.03093,1.15866,0.00448,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.45416,-0.0267,0,0.90312,0.83519,0.35571,2722,757.8551,1,0.446,-0.00395,-0.06335,-0.06142,0.6494,0.24459,0.79874,22.80812,1,0.46124,-0.02247,1.15866,0.00517,1,1,-5e-05,-0.06673,0.65616,0.4999,0.8213,21.33755,1,0.44709,-0.03093,1.15866,0.00449,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.45282,0.00119,0,0.90365,0.83519,0.36224,2722,757.8551,1,0.44595,-0.00429,-0.06335,-0.06142,0.6494,0.24453,0.79901,23.34039,1,0.45624,-0.00796,1.15866,0.00516,1,1,-5e-05,-0.06673,0.65616,0.49993,0.82141,21.46675,1,0.4494,0.01034,1.14967,0.00453,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.45077,-0.00121,0,0.90365,0.83519,0.36847,2722,757.8551,1,0.44593,-0.00503,-0.06335,-0.06142,0.6494,0.24458,0.79882,22.91977,1,0.45549,-0.00172,1.14967,0.00518,1,1,-5e-05,-0.06673,0.65616,0.49984,0.82127,21.43232,1,0.44606,-0.00069,1.14068,0.0045,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.45078,-0.00091,0,0.90365,0.83519,0.37524,2722,757.8551,1,0.4459,-0.00552,-0.06623,-0.06421,0.67836,0.24475,0.79834,22.08363,1,0.45552,-0.00143,1.14936,0.00516,1,1,-5e-05,-0.06678,0.65615,0.4998,0.82135,21.59883,1,0.44605,-0.00038,1.14038,0.0045,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.45464,0.0068,0,0.90365,0.83519,0.38177,2722,757.8551,1,0.44614,-0.00535,-0.06623,-0.06421,0.67836,0.24466,0.79875,22.86537,1,0.46436,0.00685,1.14906,0.00518,1,1,-5e-05,-0.06678,0.65615,0.49984,0.82144,21.54864,1,0.44491,0.00675,1.14906,0.00453,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.44905,-0.00665,0,0.90365,0.83519,0.38849,2722,757.8551,1,0.44622,-0.00531,-0.06623,-0.06421,0.67836,0.24461,0.79877,23.02624,1,0.45101,-0.01015,1.15774,0.00513,1,1,-5e-05,-0.06678,0.65615,0.49981,0.82142,21.60168,1,0.4471,-0.00314,1.15774,0.00452,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.44879,-0.01504,0,0.90365,0.83519,0.39496,2722,757.8551,1,0.44629,-0.00536,-0.06721,-0.06506,0.68743,0.24451,0.79892,23.31401,1,0.45024,-0.01843,1.16642,0.0051,1,1,-5e-05,-0.06678,0.65615,0.49968,0.82137,21.47977,1,0.44734,-0.01164,1.16642,0.00455,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.42762,0.01018,0,0.90365,0.80648,0.40155,2722,757.8551,1,0.4463,-0.00445,-0.06721,-0.06506,0.68743,0.24338,0.79933,23.24623,1,0.42136,0.03077,1.16642,0.00523,1,1,-5e-05,-0.06678,0.65615,0.49864,0.82147,21.5518,1,0.43388,-0.0104,1.16642,0.00461,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.36508,0.00305,0,0.90365,0.80648,0.40857,2722,757.8551,1,0.44496,-0.00379,-0.06721,-0.06506,0.68743,0.24208,0.79971,23.28655,1,0.38549,0.00176,1.16642,0.00534,1,1,-5e-05,-0.06678,0.65615,0.49703,0.82172,21.31276,1,0.34468,0.00433,1.16642,0.00479,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.36489,-0.00138,0,0.90365,0.80648,0.41541,2722,757.8551,1,0.4436,-0.00341,-0.06727,-0.06463,0.68065,0.24117,0.79947,22.59576,1,0.38549,0.00176,1.16642,0.00534,1,1,-0.00093,-0.07028,0.69108,0.49608,0.82161,21.31121,1,0.34429,-0.00452,1.17541,0.00485,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.24982,-0.02627,0,0.90365,0.80648,0.42188,2722,757.8551,1,0.43982,-0.00389,-0.06727,-0.06463,0.68065,0.23793,0.80015,23.12327,1,0.2436,-0.02428,1.17541,0.00526,1,1,-0.00093,-0.07028,0.69108,0.49278,0.82169,21.43452,1,0.25603,-0.02827,1.18439,0.00473,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.17016,-0.06215,0,0.9,0.76759,0.42188,2722,757.8551,0,0.39488,-0.00992,-0.06727,-0.06463,0.68065,0.23636,0.80061,23.05472,1,0.16073,-0.04184,1.18439,0.00526,1,1,-0.00093,-0.07028,0.69108,0.49099,0.82204,21.21584,1,0.17959,-0.08246,1.19338,0.00474,1,1,participant_10,question_14,Timer-No-Correct,True,Other
0.0,0,8,1,0.17137,-0.05338,0,0.9,0.76759,0.42188,2722,757.8551,0,0.28313,-0.03165,-0.06524,-0.06221,0.65472,0.2357,0.80058,23.22372,1,0.16064,-0.04213,1.1847,0.00517,1,1,-0.00156,-0.06606,0.64814,0.4903,0.82211,21.37858,1,0.1821,-0.06462,1.17671,0.00472,1,1,participant_10,question_14,Timer-No-Correct,True,Other
